STATcube

"Deceased (ABO Q)"
"Year under review and Todesursachen ICD/10 Version 2013 - 3-Steller - Verletzungen by Deceased"
"Counting: Deceased"

,"Counting","Deceased","Deceased - Annotations",
,"Vergiftung durch und Exposition gegenüber organische(n) Lösungsmittel(n) und halogenierte(n) Kohlenwasserstoffe(n) und deren Dämpfe(n), Umstände unbestimmt",-,"ABO",
,"Vergiftung durch und Exposition gegenüber sonstige(n) Gase(n) und Dämpfe(n), Umstände unbestimmt",-,"ABO",
,"Vergiftung durch und Exposition gegenüber Schädlingsbekämpfungsmittel(n) [Pestizide(n)], Umstände unbestimmt",-,,
,"Vergiftung durch und Exposition gegenüber sonstige(n) und nicht näher bezeichnete(n) Chemikalien und schädliche(n) Substanzen, Umstände unbestimmt",-,"ABO",
,"Erhängen, Strangulierung oder Ersticken, Umstände unbestimmt",-,"ABO",
,"Ertrinken und Untergehen, Umstände unbestimmt",-,"ABO",
,"Schuß aus Handfeuerwaffe, Umstände unbestimmt",-,,
,"Schuß aus Gewehr, Schrotflinte oder schwererer Feuerwaffe [Schußwaffe], Umstände unbestimmt",-,,
,"Schuß aus sonstiger oder nicht näher bezeichneter Feuerwaffe [Schußwaffe], Umstände unbestimmt",-,"ABO",
,"Kontakt mit Explosivstoffen, Umstände unbestimmt",-,,
,"Exposition gegenüber Rauch, Feuer und Flammen, Umstände unbestimmt",-,"ABO",
,"Verbrennung oder Verbrühung durch Wasserdampf, heiße Dämpfe oder heiße Gegenstände, Umstände unbestimmt",-,,
,"Kontakt mit scharfem Gegenstand, Umstände unbestimmt",-,"ABO",
,"Kontakt mit stumpfem Gegenstand, Umstände unbestimmt",-,,
,"Stürzen, Springen oder Gestoßenwerden in die Tiefe, Umstände unbestimmt",-,"ABO",
,"Stürzen, Legen oder Rennen vor oder in ein sich bewegendes Objekt, Umstände unbestimmt",-,"ABO",
,"Unfall eines Kraftfahrzeuges, Umstände unbestimmt",-,"ABO",
,"Sonstige näher bezeichnete Ereignisse, Umstände unbestimmt",-,"ABO",
,"Nicht näher bezeichnetes Ereignis, Umstände unbestimmt",-,"ABO",
,"Gesetzliche Maßnahme",-,,
,"Verletzungen durch Kriegshandlungen",-,,
,"Systemisch wirkende Antibiotika",-,,
,"Sonstige systemisch wirkende Antiinfektiva und Antiparasitika",-,,
,"Hormone, deren synthetische Ersatzstoffe und Antagonisten, anderenorts nicht klassifiziert",-,,
,"Primär systemisch wirkende Mittel",-,,
,"Primär auf das Blut wirkende Mittel",-,"ABO",
,"Analgetika, Antipyretika und Antiphlogistika",-,"ABO",
,"Antiepileptika und Antiparkinsonmittel",-,,
,"Sedativa, Hypnotika und Anxiolytika",-,,
,"Anästhetika und therapeutische Gase",-,,
,"Psychotrope Substanzen, anderenorts nicht klassifiziert",-,"ABO",
,"Stimulanzien des Zentralnervensystems, anderenorts nicht klassifiziert",-,,
,"Primär auf das autonome Nervensystem wirkende Arzneimittel",-,,
,"Primär auf das Herz-Kreislaufsystem wirkende Mittel",-,"ABO",
,"Primär auf den Magen-Darmtrakt wirkende Mittel",-,,
,"Primär auf den Wasserhaushalt sowie auf den Mineral- und Harnsäurestoffwechsel wirkende Mittel",-,,
,"Primär auf die glatte Muskulatur, die Skelettmuskulatur und das Atmungssystem wirkende Mittel",-,"ABO",
,"Primär auf Haut und Schleimhaut wirkende sowie in der Augen-, der Hals-Nasen-Ohren- und der Zahnheilkunde topisch angewendete Arzneimittel",-,,
,"Sonstige und nicht näher bezeichnete Arzneimittel oder Drogen",-,"ABO",
,"Bakterielle Impfstoffe",-,,
,"Sonstige und nicht näher bezeichnete Impfstoffe und biologisch aktive Substanzen",-,"ABO",
,"Versehentliche(r) Schnitt, Punktion, Perforation oder Blutung bei chirurgischem Eingriff und medizinischer Behandlung",-,"ABO",
,"Fremdkörper, versehentlich bei chirurgischem Eingriff oder bei medizinischer Behandlung im Körper zurückgeblieben",-,,
,"Unzulängliche aseptische Kautelen bei chirurgischem Eingriff und medizinischer Behandlung",-,"ABO",
,"Dosierungsfehler bei chirurgischem Eingriff und medizinischer Behandlung",-,,
,"Kontaminierte medizinisch oder biologisch aktive Substanzen",-,"ABO",
,"Sonstige Zwischenfälle bei chirurgischem Eingriff und medizinischer Behandlung",-,"ABO",
,"Unterlassener chirurgischer Eingriff und unterlassene medizinische Behandlung (einschließlich vorzeitigen Abbruchs)",-,,
,"Nicht näher bezeichnete Zwischenfälle bei chirurgischem Eingriff und medizinischer Behandlung",-,,
,"Zur Anästhesie benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,"ABO",
,"Zur Herz-Kreislauf-Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,"ABO",
,"Zur otorhinolaryngologischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur gastroenterologischen oder urologischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Im Allgemeinkrankenhaus [Spital] oder zur Selbstanwendung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur neurologischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,"ABO",
,"Zur geburtshilflichen und gynäkologischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur ophthalmologischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur radiologischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur orthopädischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur physiotherapeutischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"In der allgemeinen und plastischen Chirurgie benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Sonstige und nicht näher bezeichnete medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Chirurgischer Eingriff und sonstige chirurgische Maßnahmen als Ursache einer abnormen Reaktion eines Patienten oder einer späteren Komplikation, ohne Angabe eines Zwischenfalls zum Zeitpunkt der Durchführung der Maßnahme",-,"ABO",
,"Sonstige medizinische Maßnahmen als Ursache einer abnormen Reaktion eines Patienten oder einer späteren Komplikation, ohne Angabe eines Zwischenfalls zum Zeitpunkt der Durchführung der Maßnahme",-,"ABO",
,"Folgezustände nach Transportmittelunfällen",-,"ABO",
,"Folgezustände nach sonstigen Unfällen",-,"ABO",
,"Folgezustände nach vorsätzlicher Selbstbeschädigung, tätlichem Angriff oder einem Ereignis, dessen nähere Umstände unbestimmt sind",-,"ABO",
,"Folgezustände von chirurgischem Eingriff und medizinischer Behandlung als äußere Ursache",-,"ABO",
,"Folgezustände nach sonstigen äußeren Ursachen",-,"ABO",
"2016","Schweres akutes respiratorisches Syndrom [SARS]",-,,
,"Fußgänger bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Fußgänger bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,"ABO",
,"Fußgänger bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,"ABO",
,"Fußgänger bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,"ABO",
,"Fußgänger bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,"ABO",
,"Fußgänger bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Fußgänger bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,"ABO",
,"Benutzer eines Fahrrades bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines Fahrrades bei Zusammenstoß mit anderem Fahrrad verletzt",-,,
,"Benutzer eines Fahrrades bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Benutzer eines Fahrrades bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,"ABO",
,"Benutzer eines Fahrrades bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,"ABO",
,"Benutzer eines Fahrrades bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,"ABO",
,"Benutzer eines Fahrrades bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines Fahrrades bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,"ABO",
,"Benutzer eines Fahrrades bei Transportmittelunfall ohne Zusammenstoß verletzt",-,"ABO",
,"Benutzer eines Fahrrades bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,"ABO",
,"Benutzer eines Motorrades bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines Motorrades bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Benutzer eines Motorrades bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Benutzer eines Motorrades bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,"ABO",
,"Benutzer eines Motorrades bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,"ABO",
,"Benutzer eines Motorrades bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Benutzer eines Motorrades bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines Motorrades bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,"ABO",
,"Benutzer eines Motorrades bei Transportmittelunfall ohne Zusammenstoß verletzt",-,"ABO",
,"Benutzer eines Motorrades bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,"ABO",
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit anderem zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Transportmittelunfall ohne Zusammenstoß verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei Transportmittelunfall ohne Zusammenstoß verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,"ABO",
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,"ABO",
,"Benutzer eines Lieferwagens bei Transportmittelunfall ohne Zusammenstoß verletzt",-,,
,"Benutzer eines Lieferwagens bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,"ABO",
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Transportmittelunfall ohne Zusammenstoß verletzt",-,"ABO",
,"Benutzer eines Lastkraftwagens bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,"ABO",
,"Autobusbenutzer bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,,
,"Autobusbenutzer bei Transportmittelunfall ohne Zusammenstoß verletzt",-,"ABO",
,"Autobusbenutzer bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,,
,"Reiter oder Benutzer eines tierbespannten Fahrzeuges bei Transportmittelunfall verletzt",-,"ABO",
,"Benutzer eines Eisenbahnzuges oder Eisenbahnfahrzeuges bei Transportmittelunfall verletzt",-,,
,"Straßenbahnbenutzer bei Transportmittelunfall verletzt",-,,
,"Benutzer eines vorwiegend auf Betriebsgelände eingesetzten Spezialfahrzeuges bei Transportmittelunfall verletzt",-,"ABO",
,"Benutzer eines vorwiegend in der Landwirtschaft eingesetzten Spezialfahrzeuges bei Transportmittelunfall verletzt",-,"ABO",
,"Benutzer eines Baustellen-Spezialfahrzeuges bei Transportmittelunfall verletzt",-,"ABO",
,"Benutzer eines geländegängigen Spezialfahrzeuges oder eines sonstigen vorwiegend für die Benutzung abseits von Straßen vorgesehenen Kraftfahrzeuges bei Transportmittelunfall verletzt",-,"ABO",
,"Transportmittelunfall mit näherer Angabe des Unfallherganges, jedoch unbekannter Fortbewegungsart des Unfallopfers",-,,
,"Transportmittelunfall außerhalb des Verkehrs mit näherer Angabe des Unfallherganges, jedoch unbekannter Fortbewegungsart des Unfallopfers",-,,
,"Unfall eines motorisierten oder nichtmotorisierten Fahrzeuges, Fahrzeugtyp nicht näher bezeichnet",-,"ABO",
,"Wasserfahrzeugunfall mit Ertrinken und Untergehen",-,,
,"Wasserfahrzeugunfall mit sonstigen Verletzungen",-,,
,"Ertrinken und Untergehen im Wasserverkehr ohne Unfall des Wasserfahrzeuges",-,,
,"Unfall an Bord eines Wasserfahrzeuges ohne Unfall des Wasserfahrzeuges und ohne Ertrinken und Untergehen",-,,
,"Sonstige und nicht näher bezeichnete Wasserverkehrsunfälle",-,,
,"Unfall eines Luftfahrzeuges mit Kraftantrieb, der eine Verletzung von Insassen verursacht",-,"ABO",
,"Unfall eines Luftfahrzeuges ohne Kraftantrieb mit Verletzung von Insassen",-,"ABO",
,"Sonstige näher bezeichnete Luftverkehrsunfälle",-,,
,"Sonstige näher bezeichnete Transportmittelunfälle",-,,
,"Nicht näher bezeichneter Transportmittelunfall",-,"ABO",
,"Sturz auf gleicher Ebene bei Eis und Schnee",-,,
,"Sturz auf gleicher Ebene durch Ausgleiten, Stolpern oder Straucheln",-,"ABO",
,"Sturz bei Benutzung von Schlittschuhen, Skiern, Rollschuhen oder Skateboards",-,"ABO",
,"Sonstiger Sturz auf gleicher Ebene durch Zusammenstoß mit einer anderen Person oder durch Drängen und Stoßen durch eine andere Person",-,,
,"Sturz während des Getragen- oder Gestütztwerdens durch andere Person(en)",-,,
,"Sturz im Zusammenhang mit Rollstuhl",-,"ABO",
,"Sturz im Zusammenhang mit Bett",-,"ABO",
,"Sturz im Zusammenhang mit Stuhl",-,"ABO",
,"Sturz im Zusammenhang mit sonstigem Mobiliar",-,"ABO",
,"Sturz im Zusammenhang mit Spielplatzgerät",-,,
,"Sturz auf oder von Treppen oder Stufen",-,"ABO",
,"Sturz auf oder von Leitern",-,"ABO",
,"Sturz auf oder vom Gerüst",-,"ABO",
,"Sturz von, aus oder durch Gebäude(n) oder Bauwerke(n)",-,"ABO",
,"Sturz vom Baum",-,"ABO",
,"Sturz von Klippe",-,"ABO",
,"Verletzung beim Tauchen oder Sprung ins Wasser ohne Ertrinken oder Untergehen",-,"ABO",
,"Sonstige Stürze von einer Ebene auf eine andere",-,"ABO",
,"Sonstige Stürze auf gleicher Ebene",-,"ABO",
,"Nicht näher bezeichneter Sturz",-,"ABO",
,"Unfall durch geworfenen, geschleuderten oder fallenden Gegenstand",-,"ABO",
,"Unfall durch Stoß gegen oder Getroffenwerden von Sportgerät",-,"ABO",
,"Unfall durch Stoß gegen oder Getroffenwerden von sonstige(n) Gegenstände(n)",-,"ABO",
,"Unfall durch Eingeklemmtwerden, Eingequetschtwerden, Eingezwängtwerden oder Hängenbleiben zwischen Gegenständen",-,"ABO",
,"Unfall durch Hebegeräte und Kraftübertragungsmaschinen, anderenorts nicht klassifiziert",-,"ABO",
,"Unfall durch scharfes Glas",-,,
,"Unfall durch Messer, Schwert oder Dolch",-,,
,"Unfall durch Handwerkzeuge ohne Kraftantrieb",-,,
,"Unfall durch Rasenmäher mit Kraftantrieb",-,"ABO",
,"Unfall durch sonstige Handwerkzeuge mit Kraftantrieb oder elektrische Haushaltsgeräte",-,"ABO",
,"Unfall durch Landmaschinen",-,"ABO",
,"Unfall durch sonstige und nicht näher bezeichnete Maschinen",-,"ABO",
,"Unfall durch Handfeuerwaffe",-,,
,"Unfall durch Gewehr, Schrotflinte und schwerere Feuerwaffe [Schußwaffe]",-,,
,"Unfall durch sonstige und nicht näher bezeichnete Feuerwaffen [Schußwaffen]",-,,
,"Explosion oder Platzen eines Kessels",-,"ABO",
,"Explosion oder Platzen einer Gasflasche",-,,
,"Explosion oder Platzen eines unter Druck stehenden Reifens, Rohres oder Schlauches",-,,
,"Explosion oder Platzen von sonstigen näher bezeichneten unter Druck stehenden Geräten",-,"ABO",
,"Abbrennen von Feuerwerkskörper(n)",-,,
,"Explosion sonstiger stofflicher Substanzen",-,"ABO",
,"Exposition gegenüber Hochdruckstrahl",-,,
,"Exposition gegenüber Lärm",-,,
,"Exposition gegenüber Vibration",-,,
,"Eindringen eines Fremdkörpers in oder durch das Auge oder eine natürliche Körperöffnung",-,,
,"Eindringen eines Fremdkörpers oder Gegenstandes durch die Haut",-,,
,"Kontakt mit einer Injektionsnadel",-,,
,"Exposition gegenüber sonstigen oder nicht näher bezeichneten unbelebten mechanischen Kräften",-,,
,"Gestoßen-, Geschlagen-, Getreten-, Gezerrt-, Gebissen- oder Gekratztwerden von einer anderen Person",-,,
,"Stoß gegen oder Zusammenprall mit eine(r) andere(n) Person",-,,
,"Gequetscht-, Gestoßen- oder Niedergetretenwerden bei Menschenansammlung oder von in Panik geratener Menschenmenge",-,,
,"Rattenbiß",-,,
,"Gebissen- oder Gestoßenwerden vom Hund",-,,
,"Gebissen- oder Gestoßenwerden von anderen Säugetieren",-,"ABO",
,"Kontakt mit Meerestier",-,,
,"Bisse oder Stiche von nichtgiftigem Insekt und sonstigen nichtgiftigen Arthropoden",-,,
,"Gebissen- oder Gestoßenwerden vom Krokodil oder Alligator",-,,
,"Gebissen- oder Gequetschtwerden von sonstigen Reptilien",-,,
,"Kontakt mit Pflanzendornen oder -stacheln oder schneidenden Blättern",-,,
,"Exposition gegenüber sonstigen oder nicht näher bezeichneten belebten mechanischen Kräften",-,,
,"Ertrinken und Untergehen in der Badewanne",-,"ABO",
,"Ertrinken und Untergehen nach Sturz in die Badewanne",-,,
,"Ertrinken und Untergehen im Schwimmbecken",-,"ABO",
,"Ertrinken und Untergehen nach Sturz ins Schwimmbecken",-,"ABO",
,"Ertrinken und Untergehen in natürlichem Gewässer",-,"ABO",
,"Ertrinken und Untergehen nach Sturz in natürliches Gewässer",-,"ABO",
,"Sonstiges näher bezeichnetes Ertrinken und Untergehen",-,"ABO",
,"Nicht näher bezeichnetes Ertrinken und Untergehen",-,"ABO",
,"Unfall durch Ersticken oder Strangulierung im Bett",-,"ABO",
,"Sonstige Unfälle durch Erhängen und Strangulierung",-,"ABO",
,"Gefährdung der Atmung durch Verschüttetwerden, herabstürzende Erdmassen oder andere Stoffe",-,,
,"Aspiration von Mageninhalt",-,"ABO",
,"Obstruktion der Atemwege durch Aspiration oder Verschlucken von Nahrungsmitteln",-,"ABO",
,"Obstruktion der Atemwege durch Aspiration oder Verschlucken von sonstigem Material",-,"ABO",
,"Eingesperrt- oder Eingeschlossensein in sauerstoffarmen Räumen",-,,
,"Sonstige näher bezeichnete Gefährdung der Atmung",-,"ABO",
,"Nicht näher bezeichnete Gefährdung der Atmung",-,,
,"Exposition gegenüber elektrischen Leitungsanlagen",-,"ABO",
,"Exposition gegenüber sonstigem näher bezeichnetem elektrischem Strom",-,"ABO",
,"Exposition gegenüber nicht näher bezeichnetem elektrischem Strom",-,"ABO",
,"Exposition gegenüber ionisierender Strahlung",-,,
,"Exposition gegenüber künstlichem sichtbarem oder ultraviolettem Licht",-,,
,"Exposition gegenüber sonstiger nichtionisierender Strahlung",-,,
,"Exposition gegenüber nicht näher bezeichneter Strahlung",-,,
,"Exposition gegenüber übermäßiger, künstlich erzeugter Hitze",-,,
,"Exposition gegenüber übermäßiger, künstlich erzeugter Kälte",-,,
,"Exposition gegenüber hohem oder niedrigem Luftdruck oder Luftdruckwechsel",-,"ABO",
,"Exposition gegenüber sonstigen oder nicht näher bezeichneten künstlichen Umweltfaktoren",-,,
,"Exposition gegenüber nicht unter Kontrolle stehendem Feuer in Gebäuden oder Bauwerken",-,"ABO",
,"Exposition gegenüber nicht unter Kontrolle stehendem Feuer außerhalb von Gebäuden oder Bauwerken",-,,
,"Exposition gegenüber unter Kontrolle stehendem Feuer in Gebäuden oder Bauwerken",-,,
,"Exposition gegenüber unter Kontrolle stehendem Feuer außerhalb von Gebäuden oder Bauwerken",-,,
,"Exposition gegenüber Entzündung von feuergefährlichem Material",-,,
,"Exposition gegenüber Entzündung oder Schmelzen von Nachtwäsche",-,,
,"Exposition gegenüber Entzündung oder Schmelzen sonstiger Bekleidungs- oder Schmuckstücke",-,,
,"Exposition gegenüber sonstige(m)(n) näher bezeichnete(m)(n) Rauch, Feuer oder Flammen",-,"ABO",
,"Exposition gegenüber nicht näher bezeichnete(m)(n) Rauch, Feuer oder Flammen",-,"ABO",
,"Verbrennung oder Verbrühung durch heiße Getränke, Speisen, Fette oder Speiseöle",-,,
,"Verbrühung durch heißes Leitungswasser",-,"ABO",
,"Verbrühung durch sonstige heiße Flüssigkeiten",-,,
,"Verbrühung durch Wasserdampf oder heiße Dämpfe",-,,
,"Verbrennung durch heiße Luft oder heiße Gase",-,"ABO",
,"Verbrennung durch heiße Haushaltsgeräte",-,,
,"Verbrennung durch heiße Heizgeräte, Heizkörper oder Rohrleitungen",-,,
,"Verbrennung durch heiße Motoren, Maschinen oder Werkzeuge",-,"ABO",
,"Verbrennung durch sonstige heiße Metalle",-,,
,"Verbrennung oder Verbrühung durch sonstige oder nicht näher bezeichnete Hitze oder heiße Substanzen",-,"ABO",
,"Kontakt mit giftigen Schlangen oder Echsen",-,,
,"Kontakt mit giftigen Spinnen",-,,
,"Kontakt mit Skorpionen",-,,
,"Kontakt mit Hornissen, Wespen oder Bienen",-,"ABO",
,"Kontakt mit Hundertfüßern oder giftigen Tausendfüßern (tropisch)",-,,
,"Kontakt mit sonstigen näher bezeichneten giftigen Arthropoden",-,,
,"Kontakt mit giftigen Meerestieren oder -pflanzen",-,,
,"Kontakt mit sonstigen näher bezeichneten giftigen Tieren",-,,
,"Kontakt mit sonstigen näher bezeichneten giftigen Pflanzen",-,,
,"Kontakt mit nicht näher bezeichneten giftigen Pflanzen oder Tieren",-,,
,"Exposition gegenüber übermäßiger natürlicher Hitze",-,"ABO",
,"Exposition gegenüber übermäßiger natürlicher Kälte",-,"ABO",
,"Exposition gegenüber Sonnenlicht",-,,
,"Opfer von Blitzschlag",-,,
,"Opfer von Erdbeben",-,,
,"Opfer von Vulkanausbruch",-,,
,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",-,"ABO",
,"Opfer von Sturmkatastrophe",-,,
,"Opfer von Überschwemmung",-,,
,"Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften",-,,
,"Akzidentelle Vergiftung durch und Exposition gegenüber nichtopioidhaltige(n) Analgetika, Antipyretika und Antirheumatika",-,,
,"Akzidentelle Vergiftung durch und Exposition gegenüber Antiepileptika, Sedativa, Hypnotika, Antiparkinsonmitteln und psychotropen Substanzen, anderenorts nicht klassifiziert",-,,
,"Akzidentelle Vergiftung durch und Exposition gegenüber Betäubungsmittel(n) und Psychodysleptika [Halluzinogene(n)], anderenorts nicht klassifiziert",-,"ABO",
,"Akzidentelle Vergiftung durch und Exposition gegenüber sonstige(n) Arzneimittel(n) mit Wirkung auf das autonome Nervensystem",-,,
,"Akzidentelle Vergiftung durch und Exposition gegenüber sonstige(n) nicht näher bezeichnete(n) Arzneimittel(n), Drogen und biologisch aktive(n) Substanzen",-,"ABO",
,"Akzidentelle Vergiftung durch und Exposition gegenüber Alkohol",-,"ABO",
,"Akzidentelle Vergiftung durch und Exposition gegenüber organische(n) Lösungsmittel(n) und halogenierte(n) Kohlenwasserstoffe(n) und deren Dämpfe(n)",-,,
,"Akzidentelle Vergiftung durch und Exposition gegenüber sonstige(n) Gase(n) und Dämpfe(n)",-,"ABO",
